serialno,sporder,wagp,occp,rac1p,fhisp
2013000167274,1,1800,4030,8,0
2013000167780,1,0,310,6,0
2013000167780,2,0,4020,6,0
2013000168031,1,0,,6,0
2013000168031,2,0,,6,0
2013000168031,3,0,,6,0
2013000168781,1,0,3060,9,0
2013000168952,1,15000,2000,2,0
2013000168994,1,0,2630,1,0
2013000168994,2,10000,2750,1,0
2013000169014,1,100000,230,1,0
2013000169014,2,30000,2310,1,0
2013000169014,3,,,1,0
2013000170859,1,94000,5400,1,0
2013000170859,2,30000,2300,1,0
2013000171251,1,70000,2300,6,0
2013000171251,2,71000,1600,6,0
2013000171251,3,4000,2300,6,0
2013000171400,1,30000,3255,6,0
2013000171400,2,45000,3645,6,0
2013000173208,1,0,,1,0
2013000173687,1,0,,6,0
2013000173687,2,0,,6,0
2013000173687,3,2400,9830,6,0
2013000173735,1,0,,1,0
