serialno,bld,rntp,ybl
2013000735369,6,1400,5
2013000735431,3,600,2
2013000736828,8,500,3
2013000736860,6,850,2
2013000736926,9,300,1
2013000736954,6,1000,4
2013000738313,5,1100,1
2013000738642,2,3600,1
2013000739286,6,630,6
2013000739862,8,680,1
2013000741134,8,1400,2
2013000741976,2,3000,1
2013000742690,2,2700,3
2013000743213,6,2500,1
2013000744117,5,2500,1
2013000748711,4,1400,1
2013000749955,5,1200,6
2013000749965,9,920,1
2013000750430,3,1500,2
2013000751981,5,2000,1
2013000754552,9,1900,8
2013000756122,2,2700,4
2013000756657,9,2600,4
2013000758619,9,10,1
2013000759123,4,1200,5
2013000760786,9,1400,1
2013000761035,6,1600,5
2013000761168,5,1000,4
2013000762370,9,1800,1
2013000762992,2,310,1
2013000763180,5,510,7
2013000764143,5,1600,1
2013000766059,2,3600,1
2013000766813,2,1800,1
2013000767409,6,1900,1
2013000771615,9,350,1
2013000772295,4,550,1
2013000773804,4,2800,3
2013000777965,6,2100,1
2013000780829,6,1800,1
2013000781154,8,2100,2
2013000781785,9,1700,10
2013000782261,3,1500,5
2013000784886,9,3600,12
2013000786858,5,1700,2
2013000787972,8,810,1
2013000788081,8,1800,1
2013000788601,6,3000,1
2013000789382,6,1600,1
2013000790117,9,1400,6
2013000790440,9,2100,3
2013000791743,9,2500,5
2013000792709,5,1500,5
2013000792745,5,1600,1
2013000792875,4,2800,1
2013000793536,5,610,1
2013000793575,5,2600,6
2013000794405,8,940,4
2013000794587,9,1700,6
2013000795513,8,2000,5
2013000796902,6,910,3
2013000798696,2,1300,1
2013000799228,9,430,1
2013000800477,9,1600,9
2013000800750,3,2300,1
2013000800848,4,930,2
2013000802444,2,800,3
2013000803245,6,2500,3
2013000804843,4,2400,2
2013000807476,9,930,1
2013000808889,6,880,2
2013000808955,6,600,3
2013000810868,2,3600,1
2013000815349,6,670,5
2013000815881,5,2600,1
2013000816304,5,3600,6
2013000816786,6,580,1
2013000818319,4,2600,1
2013000819118,8,1700,1
2013000823331,6,1000,1
2013000825279,8,1600,1
2013000825619,6,450,7
2013000828437,2,560,2
2013000828824,6,2400,2
2013000830485,6,1500,4
2013000833660,3,1500,1
2013000834744,6,1700,1
2013000834775,8,1600,1
2013000834945,5,2000,1
2013000836858,4,2700,5
2013000837031,8,650,1
2013000837036,6,650,7
2013000837149,9,2100,4
2013000838429,6,970,3
2013000840368,5,2700,5
2013000841814,4,1200,1
2013000849045,5,840,1
2013000851229,9,2000,1
2013000852762,5,560,3
2013000854352,2,1900,2
2013000855128,4,1800,1
2013000857371,9,220,1
2013000857705,9,310,1
2013000858207,6,1300,7
2013000858974,9,1400,5
2013000862760,5,1400,4
2013000862814,2,1600,2
2013000864607,5,1200,1
2013000864693,3,1500,1
2013000865611,5,3600,3
2013000866018,6,1700,4
2013000866722,9,270,1
2013000866805,9,1800,6
2013000867176,6,1900,1
2013000868000,3,580,1
