FIPS,TotalPop,County,EnviroScore,EnviroPerc,SB535,Ozone,PM2.5,Diesel,Tox_Release,Traffic,Asthma,LowBirthWeight,Poverty,Hispanic,NHWhite,Black,Asian,Other
6053012100,2263,Monterey ,2.440205642,0.542313028,No,0.035257981,5.34450672,7.585911934,0.027635212,277.77,24.22,4.35,10.1,7.7,80.8,1.1,6.8,3.5
6053012200,2683,Monterey ,3.133944014,1.072014125,No,0.035257981,5.34450672,12.43196888,0.030000673,205.9,32.33,3.91,15.2,9.4,81.1,1.4,4.1,4
6053012302,1872,Monterey ,2.789869143,0.819775508,No,0.035257981,5.34450672,13.25840339,0.031361325,165.32,31.16,1.25,13.6,9.1,81.5,1.7,4.5,3.2
6053012401,1682,Monterey ,4.096102643,2.043132804,No,0.035257981,5.34450672,9.831227446,0.032728879,166.78,32.33,3.75,20.5,7.7,82.7,1,5.2,3.4
6053012402,2987,Monterey ,3.290106079,1.198133434,No,0.035257981,5.34450672,3.71932837,0.033939711,123.62,32.06,4.9,13.4,8.3,81.5,0.9,5.6,3.7
6053012502,5082,Monterey ,5.968952639,4.615966705,No,0.032532389,5.34450672,18.63,0.027768658,266.18,27.07,1,25.1,11.8,73.7,2,7.5,5
6053012700,3299,Monterey ,14.79189016,24.5806533,No,0.032532389,5.34450672,18.63,0.02329969,110.66,29.56,4.82,24.3,12,70.1,3.1,10.8,4
6053012800,5154,Monterey ,3.841295951,1.689998739,No,0.032532389,5.34450672,15.77444377,0.019352891,346.74,17.04,3.35,13.1,7.9,80.7,1.1,7.2,3.1
6053013000,2968,Monterey ,14.55387808,23.93744482,No,0.032532389,5.34450672,16.28952627,0.020642817,578.69,29.67,6.39,23.1,10.4,72.5,2.5,8.8,5.7
6053013100,1930,Monterey ,2.199770541,0.454029512,No,0.032532389,5.34450672,7.851983533,0.017797514,632.41,16.33,1.96,14.1,7,72.3,5.3,10.4,5
6053013200,4225,Monterey ,4.279451606,2.295371421,No,0.035257981,5.34450672,2.699376848,0.074395824,611.88,10.05,4.52,6.6,6.4,82.2,0.9,7.2,3.3
6053013300,5693,Monterey ,9.632963822,12.41013999,No,0.032532389,5.34450672,13.47704534,0.021782992,548.26,24.03,3.76,30.4,29.7,53.8,3,9.1,4.5
6053013400,1624,Monterey ,3.563962274,1.450372052,No,0.032532389,5.34450672,13.26379871,0.036173521,551.4,21.65,2.83,14.2,10.4,76.2,0.8,8,4.6
6053013500,4920,Monterey ,16.23552352,28.37684449,No,0.035257981,5.34450672,10.79242766,0.393577519,550.74,51.25,7.11,50.1,32.2,34.9,13.6,12.8,6.5
6053013600,4396,Monterey ,9.962596751,13.14163198,No,0.032532389,5.34450672,14.42,0.212573454,351.88,50.14,4.61,52.2,59.7,26.8,3,7.1,3.4
6053013700,5131,Monterey ,17.62953534,32.10997604,No,0.035257981,5.34450672,14.42,0.434465992,281.46,58.31,5.18,58.9,74.2,11.7,4,7.5,2.5
6053013800,5548,Monterey ,13.98758443,22.37356539,No,0.035257981,5.34450672,8.010706426,0.43739019,396.25,58.31,3.66,30.7,44.8,17.2,16.6,15,6.5
6053013900,2673,Monterey ,17.41299217,31.46676756,No,0.035257981,5.34450672,8.167504436,0.448679337,337.9,58.31,5.12,43.7,39.6,38,5.2,11.7,5.5
6053014000,2637,Monterey ,27.49192318,54.8366755,No,0.035257981,5.34450672,14.40426455,0.323759106,618.53,54.98,4.94,46.2,51.6,33.3,2.8,8.6,3.7
6053014102,2259,Monterey ,39.535885,75.33106319,Yes,0.035257981,5.34450672,3.759792391,0.621791255,924.52,56.98,4.59,50,28.3,31.7,15.4,15.9,8.7
6053014105,2688,Monterey ,11.62724964,16.55946525,No,0.035257981,5.34450672,2.775884384,0.592709425,205.23,19.1,1.89,40.5,22.4,50.5,8.9,9.7,8.4
6053014107,7088,Monterey ,27.90001853,55.74473452,No,0.035257981,5.34450672,3.45198921,0.492703848,803.37,58.24,3.4,40.2,18.5,57.5,6.2,10.7,7.2
6053014201,5133,Monterey ,24.88183644,49.64055997,No,0.035257981,5.34450672,5.407220149,0.601195344,731.51,57.15,3.48,44.2,32.4,31.7,6.1,21,8.9
6053014202,4075,Monterey ,26.36884398,52.64219952,No,0.035257981,5.34450672,5.054014087,0.618090537,595.61,57.15,6.17,41.4,29,32.9,6.3,24.4,7.4
6053014301,3602,Monterey ,23.64141804,46.76503973,No,0.035257981,5.34450672,3.559352085,0.680927884,631.04,57.11,7.64,16.8,22.5,43.1,6.5,21.2,6.7
6053014302,4024,Monterey ,30.81285808,61.02913356,No,0.035257981,5.34450672,3.114826625,0.759032583,494.8,49.59,5.12,40.8,24.7,39.5,6.3,22.5,7.1
6053014500,4410,Monterey ,41.52485599,78.1939715,Yes,0.032532389,5.34450672,8.310088104,0.933497823,612.47,98.06,6.56,31.4,46.4,42.2,2.4,6.2,2.9
6053014601,5232,Monterey ,35.34525244,69.0881574,No,0.035257981,5.34450672,2.703834937,0.910598898,422.36,58.6,3.04,44.8,77.6,17.3,0.5,2.9,1.8
6053014700,6620,Monterey ,18.27116001,33.92609409,No,0.035257981,5.34450672,1.622238058,1.039682214,589.88,36.95,5.01,32.1,49.6,41.6,0.9,4.4,3.4
6053014800,6112,Monterey ,23.89481889,47.38302434,No,0.04012721,4.92532709,1.489527315,0.450990299,528.42,36.24,4.74,46,84.9,11.7,0.4,1.6,1.4
6055200201,3466,Napa ,27.14253067,54.18085509,No,0.035257981,7.85958451,15.98,894.8564337,543.31,87.84,4.69,33.9,41.9,54.2,0.5,1.4,2
6055200202,2856,Napa ,32.13200782,63.29928112,No,0.035257981,7.85958451,12.34541131,885.5553588,367.82,87.84,3.74,39.4,36.3,57.4,1.4,1.7,3.2
6055200203,2497,Napa ,32.99091359,64.90099634,No,0.035257981,7.85958451,13.22502533,913.3160015,440.73,87.84,4.78,31.7,57.4,38.9,0.2,1.1,2.4
6055200301,5095,Napa ,38.02277107,73.174423,No,0.035257981,7.85958451,10.34,901.666627,409.34,64.34,5.27,46,48.7,46.7,0.5,2.1,2
6055200302,2504,Napa ,20.11872673,38.61773237,No,0.035257981,7.85958451,10.34,894.6544263,197.83,58.06,3.29,27.7,35.4,58.5,0.3,2.5,3.3
6055200400,3618,Napa ,12.83959286,19.68722411,No,0.035257981,7.85958451,9.436621906,829.0473813,317.2,38.23,4.31,18.6,18.2,76.5,0.5,2.1,2.8
6055200501,5013,Napa ,22.79994972,44.69668306,No,0.035257981,7.85958451,14.54544494,840.2514618,684.07,40.15,4.35,45.2,54.2,41.7,0.2,1.4,2.5
6055200503,1769,Napa ,37.65891985,72.70778156,No,0.035257981,7.85958451,12.57205156,853.3598872,440.19,87.84,5.38,40.3,47.3,48.9,0.2,1,2.7
